record_id,date,city,item_name,category,veg_nonveg,street_price,app_price,price_gap,app_premium_percent,restaurant_name,platform,rating,review_count,delivery_time,collection_type
115,2025-03-11,Hyderabad,Pizza Slice,Fast Food,Veg,88,141,53,60,Street Treats,Swiggy,4.3,11135,59,Synthetic
116,2025-06-21,Hyderabad,Veg Puff,Bakery,Veg,24,59,35,149,Tasty Corner,Swiggy,4.0,11550,48,Synthetic
117,2025-02-22,Mumbai,Sandwich,Fast Food,Veg,117,159,42,36,Spice Hub,Zomato,3.9,669,23,Synthetic
118,2025-08-29,Chennai,Masala Dosa,South Indian,Veg,78,129,51,66,Mehfil,Zomato,4.3,3088,26,Synthetic
119,2025-11-13,Kolkata,Pizza Slice,Fast Food,Veg,105,207,102,96,Street Treats,Magicpin,4.3,11925,50,Synthetic
120,2025-02-07,Hyderabad,Uttapam,South Indian,Veg,79,117,38,49,Pista House,Magicpin,4.3,9408,37,Synthetic
121,2025-09-08,Bangalore,Vada,South Indian,Veg,23,34,10,45,Pista House,Zomato,3.6,8430,55,Synthetic
122,2025-07-13,Mumbai,Idli,South Indian,Veg,28,49,21,75,Urban Bites,Zomato,3.8,18721,60,Synthetic
123,2025-08-03,Mumbai,Pizza Slice,Fast Food,Veg,177,258,80,45,Street Treats,Swiggy,4.2,1797,45,Synthetic
124,2025-12-03,Hyderabad,French Fries,Fast Food,Veg,50,86,36,71,Street Treats,Swiggy,4.0,2233,44,Synthetic
125,2025-01-03,Kolkata,Veg Puff,Bakery,Veg,25,44,19,76,Cafe Delight,Zomato,3.8,2100,54,Synthetic
126,2025-01-23,Hyderabad,Momos,Street Food,Veg,116,265,150,129,Urban Bites,Zomato,4.1,11681,54,Synthetic
127,2025-04-01,Bangalore,Uttapam,South Indian,Veg,109,175,66,61,Tasty Corner,Zomato,4.8,16347,26,Synthetic
128,2025-09-30,Delhi,Veg Biryani,Biryani,Veg,243,587,344,141,Pista House,Zomato,3.7,5934,29,Synthetic
129,2025-11-25,Bangalore,Veg Puff,Bakery,Veg,22,30,9,40,Paradise,Zomato,4.3,15158,52,Synthetic
130,2025-10-02,Mumbai,Grilled Sandwich,Fast Food,Veg,133,313,180,135,Tasty Corner,Magicpin,4.1,1107,18,Synthetic
131,2025-12-05,Mumbai,Fried Rice,Rice,Veg,165,218,53,32,Mehfil,Magicpin,4.8,16566,55,Synthetic
132,2025-04-13,Chennai,Vada,South Indian,Veg,33,45,11,34,Shah Ghouse,Magicpin,4.7,16056,46,Synthetic
133,2025-04-20,Chennai,Chicken Biryani,Biryani,Non-Veg,252,530,277,110,Urban Bites,Swiggy,4.3,15469,46,Synthetic
134,2025-08-25,Delhi,Veg Puff,Bakery,Veg,31,56,25,80,Food Junction,Magicpin,3.6,7593,27,Synthetic
135,2025-04-12,Hyderabad,Uttapam,South Indian,Veg,86,144,58,68,Pista House,Zomato,3.7,19466,35,Synthetic
136,2025-10-23,Mumbai,Pizza Slice,Fast Food,Veg,114,169,55,49,Paradise,Magicpin,3.8,13218,23,Synthetic
137,2025-04-09,Bangalore,Momos,Street Food,Veg,85,123,38,45,Mehfil,Magicpin,4.9,8684,49,Synthetic
138,2025-01-11,Bangalore,Upma,South Indian,Veg,56,93,38,67,Shah Ghouse,Zomato,4.1,1082,52,Synthetic
139,2025-11-25,Mumbai,Uttapam,South Indian,Veg,83,158,75,90,Street Treats,Swiggy,4.9,6243,48,Synthetic
140,2025-06-08,Mumbai,Grilled Sandwich,Fast Food,Veg,116,209,94,81,Urban Bites,Zomato,4.6,16889,48,Synthetic
141,2025-07-11,Mumbai,Coffee,Beverage,Veg,34,71,37,108,Shah Ghouse,Zomato,3.9,15135,17,Synthetic
142,2025-03-25,Bangalore,Veg Biryani,Biryani,Veg,193,348,156,81,Paradise,Zomato,3.8,2295,60,Synthetic
143,2025-11-22,Chennai,Manchurian,Street Food,Veg,147,292,145,98,Food Junction,Zomato,3.5,13358,46,Synthetic
144,2025-06-11,Mumbai,Fried Rice,Rice,Veg,125,196,71,56,Mehfil,Zomato,3.6,6517,57,Synthetic
145,2025-08-22,Bangalore,Chicken Biryani,Biryani,Non-Veg,196,436,240,123,Tasty Corner,Zomato,3.7,10519,38,Synthetic
146,2025-01-10,Delhi,Grilled Sandwich,Fast Food,Veg,90,208,117,130,Spice Hub,Magicpin,4.8,2175,60,Synthetic
147,2025-11-08,Delhi,Veg Pulao,Rice,Veg,99,165,66,67,Urban Bites,Magicpin,4.7,9121,58,Synthetic
148,2025-11-03,Hyderabad,Vada,South Indian,Veg,21,39,18,88,Urban Bites,Magicpin,4.2,9486,20,Synthetic
149,2025-11-21,Delhi,Idli,South Indian,Veg,50,69,18,37,Tasty Corner,Swiggy,4.1,3164,30,Synthetic
150,2025-10-30,Chennai,Momos,Street Food,Veg,122,233,112,92,Street Treats,Zomato,4.4,17744,34,Synthetic
151,2025-12-20,Delhi,Tea,Beverage,Veg,13,33,19,147,Street Treats,Zomato,4.1,18731,29,Synthetic
152,2025-07-31,Kolkata,French Fries,Fast Food,Veg,72,148,76,106,Food Junction,Magicpin,4.7,16677,30,Synthetic
153,2025-07-30,Delhi,Chicken Biryani,Biryani,Non-Veg,222,513,291,131,Urban Bites,Swiggy,4.5,13074,28,Synthetic
154,2025-11-07,Mumbai,Veg Biryani,Biryani,Veg,195,435,240,123,Tasty Corner,Magicpin,4.3,10440,59,Synthetic
155,2025-09-13,Delhi,Paneer Biryani,Biryani,Veg,258,449,191,74,Mehfil,Magicpin,4.5,18199,45,Synthetic
156,2025-10-30,Kolkata,Sandwich,Fast Food,Veg,115,193,78,68,Pista House,Zomato,3.7,4904,57,Synthetic
157,2025-12-10,Mumbai,Grilled Sandwich,Fast Food,Veg,91,171,80,88,Mehfil,Magicpin,3.6,13461,33,Synthetic
158,2025-11-16,Kolkata,Vada,South Indian,Veg,38,89,51,134,Urban Bites,Magicpin,4.9,14396,37,Synthetic
159,2025-10-25,Chennai,Idli,South Indian,Veg,52,75,23,43,Street Treats,Zomato,4.4,9056,33,Synthetic
160,2025-09-25,Chennai,Upma,South Indian,Veg,37,81,45,122,Spice Hub,Swiggy,4.2,16914,49,Synthetic
161,2025-02-05,Bangalore,Pizza Slice,Fast Food,Veg,121,253,131,108,Urban Bites,Magicpin,3.5,481,41,Synthetic
162,2025-02-08,Chennai,Veg Burger,Fast Food,Veg,98,136,38,39,Urban Bites,Zomato,4.1,1839,23,Synthetic
163,2025-05-01,Chennai,Plain Dosa,South Indian,Veg,31,59,28,89,Mehfil,Magicpin,4.1,7873,57,Synthetic
164,2025-10-11,Chennai,Chicken Biryani,Biryani,Non-Veg,197,386,189,96,Food Junction,Swiggy,4.7,8365,49,Synthetic
165,2025-06-04,Hyderabad,Chicken Burger,Fast Food,Non-Veg,219,516,298,136,Cafe Delight,Magicpin,3.9,14961,40,Synthetic
166,2025-03-09,Bangalore,Veg Biryani,Biryani,Veg,220,422,202,92,Cafe Delight,Magicpin,4.0,6447,24,Synthetic
167,2025-06-05,Delhi,Vada,South Indian,Veg,20,28,8,39,Paradise,Swiggy,3.6,19516,46,Synthetic
168,2025-06-04,Delhi,Vada,South Indian,Veg,26,31,5,21,Food Junction,Zomato,4.6,13595,22,Synthetic
169,2025-07-30,Delhi,Chicken Burger,Fast Food,Non-Veg,161,400,239,149,Street Treats,Magicpin,4.1,10793,46,Synthetic
170,2025-02-08,Delhi,Sandwich,Fast Food,Veg,72,132,60,83,Mehfil,Magicpin,3.7,4174,30,Synthetic
171,2025-04-30,Delhi,Sandwich,Fast Food,Veg,59,88,28,48,Tasty Corner,Zomato,4.7,11457,26,Synthetic
172,2025-02-15,Hyderabad,Plain Dosa,South Indian,Veg,68,87,19,29,Mehfil,Swiggy,4.3,4478,26,Synthetic
173,2025-04-06,Hyderabad,French Fries,Fast Food,Veg,83,188,105,126,Paradise,Zomato,4.6,14709,37,Synthetic
174,2025-12-01,Chennai,Vada,South Indian,Veg,34,60,26,76,Mehfil,Swiggy,3.5,18461,36,Synthetic
175,2025-11-22,Chennai,Veg Biryani,Biryani,Veg,221,388,167,76,Food Junction,Swiggy,4.4,1011,47,Synthetic
176,2025-10-06,Mumbai,Pizza Slice,Fast Food,Veg,141,228,87,61,Cafe Delight,Zomato,3.9,17304,56,Synthetic
177,2025-07-21,Delhi,Pizza Slice,Fast Food,Veg,180,445,265,147,Urban Bites,Magicpin,4.2,14897,58,Synthetic
178,2025-06-11,Delhi,Vada,South Indian,Veg,40,48,8,20,Cafe Delight,Magicpin,3.7,15099,41,Synthetic
179,2025-03-02,Kolkata,Coffee,Beverage,Veg,33,56,23,68,Spice Hub,Zomato,4.7,1357,56,Synthetic
180,2025-10-08,Kolkata,Plain Dosa,South Indian,Veg,43,60,18,41,Tasty Corner,Magicpin,4.7,16195,43,Synthetic
181,2025-02-08,Kolkata,Masala Dosa,South Indian,Veg,110,261,152,139,Spice Hub,Magicpin,4.4,18673,15,Synthetic
182,2025-09-06,Hyderabad,Sandwich,Fast Food,Veg,51,125,74,145,Tasty Corner,Swiggy,4.4,3428,46,Synthetic
183,2025-12-26,Kolkata,Momos,Street Food,Veg,71,131,60,84,Spice Hub,Magicpin,4.7,6261,51,Synthetic
184,2025-01-19,Hyderabad,Idli,South Indian,Veg,32,70,38,118,Cafe Delight,Magicpin,4.2,1123,48,Synthetic
185,2025-08-29,Mumbai,Manchurian,Street Food,Veg,99,243,144,146,Paradise,Zomato,3.5,15670,26,Synthetic
186,2025-05-29,Kolkata,Idli,South Indian,Veg,24,55,31,129,Spice Hub,Zomato,3.6,1487,52,Synthetic
187,2025-04-12,Chennai,Momos,Street Food,Veg,42,54,12,28,Pista House,Zomato,3.9,6723,41,Synthetic
188,2025-11-15,Kolkata,Masala Dosa,South Indian,Veg,109,132,23,21,Spice Hub,Magicpin,4.8,8454,56,Synthetic
189,2025-01-27,Kolkata,Uttapam,South Indian,Veg,69,94,25,36,Mehfil,Magicpin,3.8,1656,52,Synthetic
190,2025-02-24,Hyderabad,Upma,South Indian,Veg,68,167,100,148,Mehfil,Magicpin,4.1,9666,35,Synthetic
191,2025-04-17,Kolkata,Pizza Slice,Fast Food,Veg,165,333,168,102,Tasty Corner,Magicpin,3.5,8483,50,Synthetic
192,2025-07-15,Delhi,Chicken Fried Rice,Rice,Non-Veg,177,221,45,25,Food Junction,Swiggy,4.2,19821,54,Synthetic
193,2025-12-12,Delhi,French Fries,Fast Food,Veg,84,190,106,126,Pista House,Magicpin,4.7,13560,56,Synthetic
194,2025-11-27,Bangalore,Paneer Biryani,Biryani,Veg,233,437,204,88,Spice Hub,Zomato,4.3,15051,16,Synthetic
195,2025-06-13,Mumbai,Pani Puri,Street Food,Veg,21,37,16,76,Spice Hub,Swiggy,4.2,980,45,Synthetic
196,2025-12-28,Delhi,French Fries,Fast Food,Veg,59,120,62,105,Urban Bites,Zomato,4.1,9303,59,Synthetic
197,2025-07-23,Hyderabad,Idli,South Indian,Veg,48,95,47,97,Street Treats,Magicpin,4.6,12332,24,Synthetic
198,2025-07-20,Mumbai,Vada,South Indian,Veg,48,76,28,58,Spice Hub,Swiggy,4.3,5242,23,Synthetic
199,2025-08-18,Delhi,Chicken Biryani,Biryani,Non-Veg,247,478,231,94,Food Junction,Zomato,4.7,18344,23,Synthetic
200,2025-01-02,Delhi,Masala Dosa,South Indian,Veg,76,130,54,71,Street Treats,Magicpin,4.5,11489,50,Synthetic
201,2025-10-10,Delhi,Plain Dosa,South Indian,Veg,62,108,47,75,Cafe Delight,Magicpin,4.6,2508,23,Synthetic
202,2025-02-28,Mumbai,Sandwich,Fast Food,Veg,57,113,56,98,Cafe Delight,Zomato,4.7,13466,17,Synthetic
203,2025-07-11,Bangalore,Coffee,Beverage,Veg,27,48,21,77,Pista House,Magicpin,3.6,16247,26,Synthetic
204,2025-03-23,Kolkata,Fried Rice,Rice,Veg,179,436,257,144,Street Treats,Swiggy,4.3,11995,60,Synthetic
205,2025-09-27,Bangalore,Plain Dosa,South Indian,Veg,52,95,42,81,Tasty Corner,Zomato,4.3,19312,32,Synthetic
206,2025-06-14,Kolkata,Noodles,Street Food,Veg,101,148,47,47,Pista House,Magicpin,4.0,19175,17,Synthetic
207,2025-08-15,Kolkata,French Fries,Fast Food,Veg,117,213,96,82,Cafe Delight,Swiggy,4.3,13477,16,Synthetic
208,2025-09-01,Hyderabad,Veg Pulao,Rice,Veg,120,188,68,57,Cafe Delight,Magicpin,4.0,15863,42,Synthetic
209,2025-06-17,Chennai,Fried Rice,Rice,Veg,135,210,76,56,Tasty Corner,Magicpin,4.2,11665,48,Synthetic
